Store,Sales_2010,Sales_2011,Sales_Change,Percent_Change
31,980241.3019,925196.4877,-55044.814199999906,-5.615435106978929
34,1276344.739,1226034.925,-50309.81400000001,-3.9417104535109466
28,1595502.647,1381859.253,-213643.3940000001,-13.390350332649751
26,1185694.346,1109300.023,-76394.32299999986,-6.443003060419407
27,2253457.93,1949081.208,-304376.72200000007,-13.507095825835988
44,287516.1011,289445.0876,1928.986499999999,0.6709142523218499
12,1392502.78,1244464.861,-148037.919,-10.631068111763483
22,1436664.874,1325846.477,-110818.39700000011,-7.713587142383221
1,1129561.183,1034925.497,-94635.68599999999,-8.378092964265752
13,2831785.955,2736299.102,-95486.85300000012,-3.3719657670948555
16,525643.4139,484623.1468,-41020.267100000056,-7.803820235404656
6,1281053.876,1196949.652,-84104.22399999993,-6.565237073604541
3,282247.4979,247377.5724,-34869.92550000001,-12.354378961529143
40,1242077.007,1172563.593,-69513.41399999987,-5.596546237330024
20,1840661.777,1675196.648,-165465.12899999996,-8.989436900769627
5,219860.3374,208495.4529,-11364.884499999986,-5.169138114858541
19,2017515.614,1815790.876,-201724.73800000013,-9.998670473734443
41,1164058.59,1153951.495,-10107.094999999972,-0.8682634264998613
43,322816.9359,320660.7273,-2156.2085999999545,-0.6679354024560502
15,1030765.684,865880.2517,-164885.4323,-15.996402951652783
37,274435.428,277816.9379,3381.5099000000046,1.2321695943717603
17,1031020.533,991777.0349,-39243.498100000084,-3.8062770666469437
9,406340.1697,405854.8696,-485.3001000000513,-0.1194319774878145
35,1302541.772,1103129.327,-199412.44500000007,-15.309485598593152
4,2777298.745,2828327.694,51028.94900000002,1.8373590198702237
8,703914.2368,656088.8736,-47825.363199999905,-6.794203142901954
39,1187307.355,1171489.939,-15817.415999999968,-1.3322090470836818
23,2059754.133,1894709.627,-165044.50599999982,-8.012825577371949
7,546776.3803,540198.6874,-6577.692899999907,-1.2029950701950443
10,2952395.634,2683385.782,-269009.85199999996,-9.111578709237447
45,921890.9363,805567.2417,-116323.69459999993,-12.617945357708354
38,290672.7927,322897.9253,32225.13260000001,11.08639453340898
25,633016.9662,608064.9495,-24952.016700000037,-3.941761126844191
24,1797405.904,1587502.625,-209903.2790000001,-11.678123373962173
29,851936.7439,744307.3394,-107629.40449999995,-12.633497178123058
21,752024.4179,632216.9033,-119807.5146,-15.931333045615458
32,1019751.153,998885.1927,-20865.960300000035,-2.04618158445956
33,196282.6996,197127.4226,844.7229999999981,0.43036039432993317
11,1074171.5,993384.9115,-80786.58849999995,-7.5208277728463235
14,2091919.815,1783236.877,-308682.93799999985,-14.755964152478754
42,437123.656,442880.4324,5756.776399999973,1.3169674807075582
2,1627940.784,1472318.006,-155622.77799999993,-9.559486409427036
30,246064.3484,224668.3526,-21395.995799999975,-8.695284765600759
18,1527338.334,1378150.398,-149187.936,-9.767838119356728
36,200824.2768,149165.8873,-51658.38949999999,-25.723179648965623
